N; BlockSize; GridSize; time_sec
33554432; 4; 6656; 2.057817
33554432; 4; 6656; 2.060084
33554432; 4; 6656; 2.058352
33554432; 4; 6656; 2.058124
33554432; 4; 6656; 2.057394
33554432; 4; 6656; 2.061778
33554432; 4; 6656; 2.056936
33554432; 4; 6656; 2.058069
33554432; 4; 6656; 2.057720
33554432; 4; 6656; 2.057405
33554432; 4; 6656; 2.058386
33554432; 4; 6656; 2.059344
33554432; 4; 6656; 2.058036
33554432; 4; 6656; 2.057261
33554432; 4; 6656; 2.058768
33554432; 4; 6656; 2.056564
33554432; 4; 6656; 2.056299
33554432; 4; 6656; 2.057629
33554432; 4; 6656; 2.057457
33554432; 4; 6656; 2.058471
