N; BlockSize; GridSize; time_sec
33554432; 8; 3328; 1.089013
33554432; 8; 3328; 1.084391
33554432; 8; 3328; 1.086483
33554432; 8; 3328; 1.086516
33554432; 8; 3328; 1.083292
33554432; 8; 3328; 1.084773
33554432; 8; 3328; 1.087572
33554432; 8; 3328; 1.085974
33554432; 8; 3328; 1.085167
33554432; 8; 3328; 1.083206
33554432; 8; 3328; 1.084283
33554432; 8; 3328; 1.084974
33554432; 8; 3328; 1.084817
33554432; 8; 3328; 1.085163
33554432; 8; 3328; 1.090842
33554432; 8; 3328; 1.086749
33554432; 8; 3328; 1.085167
33554432; 8; 3328; 1.085261
33554432; 8; 3328; 1.086021
33554432; 8; 3328; 1.083912
