N; BlockSize; GridSize; time_sec
33554432; 2; 13312; 3.942454
33554432; 2; 13312; 3.941971
33554432; 2; 13312; 3.940097
33554432; 2; 13312; 3.942961
33554432; 2; 13312; 3.942628
33554432; 2; 13312; 3.940706
33554432; 2; 13312; 3.940464
33554432; 2; 13312; 3.942921
33554432; 2; 13312; 3.943432
33554432; 2; 13312; 3.942178
33554432; 2; 13312; 3.945921
33554432; 2; 13312; 3.944084
33554432; 2; 13312; 3.951087
33554432; 2; 13312; 3.943744
33554432; 2; 13312; 3.942776
33554432; 2; 13312; 3.944247
33554432; 2; 13312; 3.946310
33554432; 2; 13312; 3.944308
33554432; 2; 13312; 3.945305
33554432; 2; 13312; 3.943861
