N; BlockSize; GridSize; time_sec
33554432; 256; 104; 0.231653
33554432; 256; 104; 0.233660
33554432; 256; 104; 0.232285
33554432; 256; 104; 0.231638
33554432; 256; 104; 0.234604
33554432; 256; 104; 0.233976
33554432; 256; 104; 0.230645
33554432; 256; 104; 0.232400
33554432; 256; 104; 0.231810
33554432; 256; 104; 0.235236
33554432; 256; 104; 0.239198
33554432; 256; 104; 0.233451
33554432; 256; 104; 0.231342
33554432; 256; 104; 0.232520
33554432; 256; 104; 0.235619
33554432; 256; 104; 0.237530
33554432; 256; 104; 0.234322
33554432; 256; 104; 0.236085
33554432; 256; 104; 0.241610
33554432; 256; 104; 0.235797
