N; BlockSize; GridSize; time_sec
33554432; 32; 832; 0.363254
33554432; 32; 832; 0.363599
33554432; 32; 832; 0.363042
33554432; 32; 832; 0.364409
33554432; 32; 832; 0.361713
33554432; 32; 832; 0.364958
33554432; 32; 832; 0.359698
33554432; 32; 832; 0.361389
33554432; 32; 832; 0.359962
33554432; 32; 832; 0.360055
33554432; 32; 832; 0.358523
33554432; 32; 832; 0.360051
33554432; 32; 832; 0.361766
33554432; 32; 832; 0.364756
33554432; 32; 832; 0.361192
33554432; 32; 832; 0.358515
33554432; 32; 832; 0.359473
33554432; 32; 832; 0.359134
33554432; 32; 832; 0.357958
33554432; 32; 832; 0.358563
