N; BlockSize; GridSize; time_sec
33554432; 64; 416; 0.577662
33554432; 64; 416; 0.564418
33554432; 64; 416; 0.560781
33554432; 64; 416; 0.571567
33554432; 64; 416; 0.569042
33554432; 64; 416; 0.575662
33554432; 64; 416; 0.571426
33554432; 64; 416; 0.573463
33554432; 64; 416; 0.580617
33554432; 64; 416; 0.566418
33554432; 64; 416; 0.550020
33554432; 64; 416; 0.570443
33554432; 64; 416; 0.566794
33554432; 64; 416; 0.563429
33554432; 64; 416; 0.559820
33554432; 64; 416; 0.562596
33554432; 64; 416; 0.572573
33554432; 64; 416; 0.566917
33554432; 64; 416; 0.574644
33554432; 64; 416; 0.577487
