N; BlockSize; GridSize; time_sec
33554432; 4; 6656; 2.853309
33554432; 4; 6656; 2.854041
33554432; 4; 6656; 2.852539
33554432; 4; 6656; 2.851280
33554432; 4; 6656; 2.852495
33554432; 4; 6656; 2.851013
33554432; 4; 6656; 2.851114
33554432; 4; 6656; 2.852740
33554432; 4; 6656; 2.858646
33554432; 4; 6656; 2.849255
33554432; 4; 6656; 2.851371
33554432; 4; 6656; 2.848555
33554432; 4; 6656; 2.854592
33554432; 4; 6656; 2.850018
33554432; 4; 6656; 2.851367
33554432; 4; 6656; 2.856795
33554432; 4; 6656; 2.852651
33554432; 4; 6656; 2.853479
33554432; 4; 6656; 2.852086
33554432; 4; 6656; 2.851905
