N; BlockSize; GridSize; time_sec
33554432; 2; 13312; 5.412574
33554432; 2; 13312; 5.414584
33554432; 2; 13312; 5.412663
33554432; 2; 13312; 5.415522
33554432; 2; 13312; 5.416365
33554432; 2; 13312; 5.413270
33554432; 2; 13312; 5.410380
33554432; 2; 13312; 5.414684
33554432; 2; 13312; 5.413826
33554432; 2; 13312; 5.413901
33554432; 2; 13312; 5.414841
33554432; 2; 13312; 5.417174
33554432; 2; 13312; 5.410611
33554432; 2; 13312; 5.416248
33554432; 2; 13312; 5.414507
33554432; 2; 13312; 5.413193
33554432; 2; 13312; 5.410645
33554432; 2; 13312; 5.413368
33554432; 2; 13312; 5.415451
33554432; 2; 13312; 5.411665
