N; BlockSize; GridSize; time_sec
33554432; 256; 104; 0.553419
33554432; 256; 104; 0.557431
33554432; 256; 104; 0.552043
33554432; 256; 104; 0.551911
33554432; 256; 104; 0.552095
33554432; 256; 104; 0.555903
33554432; 256; 104; 0.553395
33554432; 256; 104; 0.557138
33554432; 256; 104; 0.553731
33554432; 256; 104; 0.554597
33554432; 256; 104; 0.555458
33554432; 256; 104; 0.554672
33554432; 256; 104; 0.554863
33554432; 256; 104; 0.554406
33554432; 256; 104; 0.557513
33554432; 256; 104; 0.554930
33554432; 256; 104; 0.553976
33554432; 256; 104; 0.553862
33554432; 256; 104; 0.556988
33554432; 256; 104; 0.552534
