N; BlockSize; GridSize; time_sec
33554432; 128; 208; 0.573368
33554432; 128; 208; 0.572902
33554432; 128; 208; 0.575088
33554432; 128; 208; 0.571507
33554432; 128; 208; 0.573671
33554432; 128; 208; 0.572361
33554432; 128; 208; 0.574952
33554432; 128; 208; 0.572860
33554432; 128; 208; 0.573385
33554432; 128; 208; 0.571375
33554432; 128; 208; 0.574793
33554432; 128; 208; 0.569262
33554432; 128; 208; 0.572879
33554432; 128; 208; 0.575294
33554432; 128; 208; 0.574522
33554432; 128; 208; 0.571365
33554432; 128; 208; 0.573396
33554432; 128; 208; 0.573864
33554432; 128; 208; 0.571164
33554432; 128; 208; 0.572796
