N; BlockSize; GridSize; time_sec
33554432; 32; 832; 0.576036
33554432; 32; 832; 0.577280
33554432; 32; 832; 0.576746
33554432; 32; 832; 0.577935
33554432; 32; 832; 0.574942
33554432; 32; 832; 0.574893
33554432; 32; 832; 0.577771
33554432; 32; 832; 0.576224
33554432; 32; 832; 0.575341
33554432; 32; 832; 0.576887
33554432; 32; 832; 0.578429
33554432; 32; 832; 0.572764
33554432; 32; 832; 0.575529
33554432; 32; 832; 0.576070
33554432; 32; 832; 0.574009
33554432; 32; 832; 0.576322
33554432; 32; 832; 0.578154
33554432; 32; 832; 0.576089
33554432; 32; 832; 0.573560
33554432; 32; 832; 0.573510
