N; BlockSize; GridSize; time_sec
33554432; 16; 1664; 0.899268
33554432; 16; 1664; 0.901268
33554432; 16; 1664; 0.897587
33554432; 16; 1664; 0.902204
33554432; 16; 1664; 0.901200
33554432; 16; 1664; 0.900838
33554432; 16; 1664; 0.900989
33554432; 16; 1664; 0.898056
33554432; 16; 1664; 0.900807
33554432; 16; 1664; 0.902868
33554432; 16; 1664; 0.897401
33554432; 16; 1664; 0.898226
33554432; 16; 1664; 0.898981
33554432; 16; 1664; 0.897656
33554432; 16; 1664; 0.899723
33554432; 16; 1664; 0.898257
33554432; 16; 1664; 0.899367
33554432; 16; 1664; 0.897915
33554432; 16; 1664; 0.899076
33554432; 16; 1664; 0.898933
