N; BlockSize; GridSize; time_sec
33554432; 8; 3328; 1.539042
33554432; 8; 3328; 1.537298
33554432; 8; 3328; 1.540844
33554432; 8; 3328; 1.540008
33554432; 8; 3328; 1.538043
33554432; 8; 3328; 1.541236
33554432; 8; 3328; 1.539558
33554432; 8; 3328; 1.539802
33554432; 8; 3328; 1.537564
33554432; 8; 3328; 1.537147
33554432; 8; 3328; 1.538803
33554432; 8; 3328; 1.538271
33554432; 8; 3328; 1.537921
33554432; 8; 3328; 1.538639
33554432; 8; 3328; 1.538330
33554432; 8; 3328; 1.538281
33554432; 8; 3328; 1.538124
33554432; 8; 3328; 1.541678
33554432; 8; 3328; 1.543245
33554432; 8; 3328; 1.539790
