N; BlockSize; GridSize; time_sec
33554432; 32; 832; 0.829856
33554432; 32; 832; 0.829469
33554432; 32; 832; 0.829368
33554432; 32; 832; 0.830504
33554432; 32; 832; 0.829765
33554432; 32; 832; 0.834075
33554432; 32; 832; 0.829217
33554432; 32; 832; 0.829907
33554432; 32; 832; 0.831981
33554432; 32; 832; 0.830127
33554432; 32; 832; 0.830268
33554432; 32; 832; 0.829359
33554432; 32; 832; 0.830360
33554432; 32; 832; 0.831940
33554432; 32; 832; 0.834035
33554432; 32; 832; 0.828298
33554432; 32; 832; 0.829386
33554432; 32; 832; 0.830272
33554432; 32; 832; 0.829653
33554432; 32; 832; 0.830429
