N; BlockSize; GridSize; time_sec
33554432; 8; 3328; 1.333758
33554432; 8; 3328; 1.331489
33554432; 8; 3328; 1.332727
33554432; 8; 3328; 1.333515
33554432; 8; 3328; 1.333912
33554432; 8; 3328; 1.332859
33554432; 8; 3328; 1.333259
33554432; 8; 3328; 1.331411
33554432; 8; 3328; 1.334833
33554432; 8; 3328; 1.333810
33554432; 8; 3328; 1.332309
33554432; 8; 3328; 1.332032
33554432; 8; 3328; 1.330776
33554432; 8; 3328; 1.330533
33554432; 8; 3328; 1.334433
33554432; 8; 3328; 1.332459
33554432; 8; 3328; 1.331771
33554432; 8; 3328; 1.333855
33554432; 8; 3328; 1.334375
33554432; 8; 3328; 1.335079
