N; BlockSize; GridSize; time_sec
33554432; 512; 52; 1.731823
33554432; 512; 52; 1.638085
33554432; 512; 52; 1.640244
33554432; 512; 52; 1.637705
33554432; 512; 52; 1.641823
33554432; 512; 52; 1.642472
33554432; 512; 52; 1.643313
33554432; 512; 52; 1.642316
33554432; 512; 52; 1.637646
33554432; 512; 52; 1.644827
33554432; 512; 52; 1.643926
33554432; 512; 52; 1.637312
33554432; 512; 52; 1.637152
33554432; 512; 52; 1.635325
33554432; 512; 52; 1.644526
33554432; 512; 52; 1.646885
33554432; 512; 52; 1.650662
33554432; 512; 52; 1.636262
33554432; 512; 52; 1.638153
33554432; 512; 52; 1.639015
