N; BlockSize; GridSize; time_sec
33554432; 16; 1664; 0.955099
33554432; 16; 1664; 0.954648
33554432; 16; 1664; 0.955459
33554432; 16; 1664; 0.957676
33554432; 16; 1664; 0.954374
33554432; 16; 1664; 0.955188
33554432; 16; 1664; 0.955963
33554432; 16; 1664; 0.955266
33554432; 16; 1664; 0.956156
33554432; 16; 1664; 0.957601
33554432; 16; 1664; 0.956245
33554432; 16; 1664; 0.955162
33554432; 16; 1664; 0.954730
33554432; 16; 1664; 0.955778
33554432; 16; 1664; 0.955498
33554432; 16; 1664; 0.955756
33554432; 16; 1664; 0.957985
33554432; 16; 1664; 0.957179
33554432; 16; 1664; 0.957678
33554432; 16; 1664; 0.956992
