N; BlockSize; GridSize; time_sec
33554432; 64; 416; 1.214932
33554432; 64; 416; 1.205525
33554432; 64; 416; 1.212353
33554432; 64; 416; 1.202074
33554432; 64; 416; 1.210919
33554432; 64; 416; 1.203797
33554432; 64; 416; 1.210708
33554432; 64; 416; 1.208683
33554432; 64; 416; 1.219967
33554432; 64; 416; 1.210005
33554432; 64; 416; 1.213400
33554432; 64; 416; 1.199487
33554432; 64; 416; 1.210616
33554432; 64; 416; 1.199557
33554432; 64; 416; 1.210641
33554432; 64; 416; 1.206337
33554432; 64; 416; 1.207722
33554432; 64; 416; 1.203690
33554432; 64; 416; 1.204145
33554432; 64; 416; 1.197983
