N; BlockSize; GridSize; time_sec
33554432; 2; 13312; 4.006993
33554432; 2; 13312; 4.008117
33554432; 2; 13312; 4.011824
33554432; 2; 13312; 4.006905
33554432; 2; 13312; 4.011518
33554432; 2; 13312; 4.007239
33554432; 2; 13312; 4.007605
33554432; 2; 13312; 4.006166
33554432; 2; 13312; 4.008067
33554432; 2; 13312; 4.009249
33554432; 2; 13312; 4.008179
33554432; 2; 13312; 4.006409
33554432; 2; 13312; 4.008954
33554432; 2; 13312; 4.007217
33554432; 2; 13312; 4.007595
33554432; 2; 13312; 4.008969
33554432; 2; 13312; 4.008645
33554432; 2; 13312; 4.011695
33554432; 2; 13312; 4.006935
33554432; 2; 13312; 4.004960
