N; BlockSize; GridSize; time_sec
33554432; 2; 13312; 3.824066
33554432; 2; 13312; 3.825378
33554432; 2; 13312; 3.828747
33554432; 2; 13312; 3.831479
33554432; 2; 13312; 3.827619
33554432; 2; 13312; 3.823459
33554432; 2; 13312; 3.826838
33554432; 2; 13312; 3.825265
33554432; 2; 13312; 3.825841
33554432; 2; 13312; 3.824186
33554432; 2; 13312; 3.827202
33554432; 2; 13312; 3.825449
33554432; 2; 13312; 3.825650
33554432; 2; 13312; 3.826147
33554432; 2; 13312; 3.824924
33554432; 2; 13312; 3.831076
33554432; 2; 13312; 3.826062
33554432; 2; 13312; 3.826973
33554432; 2; 13312; 3.825585
33554432; 2; 13312; 3.826945
