N; BlockSize; GridSize; time_sec
33554432; 16; 1664; 0.588694
33554432; 16; 1664; 0.591095
33554432; 16; 1664; 0.587594
33554432; 16; 1664; 0.591258
33554432; 16; 1664; 0.590410
33554432; 16; 1664; 0.598144
33554432; 16; 1664; 0.585952
33554432; 16; 1664; 0.590077
33554432; 16; 1664; 0.587879
33554432; 16; 1664; 0.592164
33554432; 16; 1664; 0.590796
33554432; 16; 1664; 0.590081
33554432; 16; 1664; 0.586634
33554432; 16; 1664; 0.588889
33554432; 16; 1664; 0.588238
33554432; 16; 1664; 0.590251
33554432; 16; 1664; 0.589699
33554432; 16; 1664; 0.589132
33554432; 16; 1664; 0.591602
33554432; 16; 1664; 0.586845
