N; BlockSize; GridSize; time_sec
33554432; 256; 104; 0.222976
33554432; 256; 104; 0.223921
33554432; 256; 104; 0.228407
33554432; 256; 104; 0.222968
33554432; 256; 104; 0.222945
33554432; 256; 104; 0.222428
33554432; 256; 104; 0.222985
33554432; 256; 104; 0.222763
33554432; 256; 104; 0.224866
33554432; 256; 104; 0.224961
33554432; 256; 104; 0.230621
33554432; 256; 104; 0.223695
33554432; 256; 104; 0.222034
33554432; 256; 104; 0.222314
33554432; 256; 104; 0.222828
33554432; 256; 104; 0.222919
33554432; 256; 104; 0.220848
33554432; 256; 104; 0.223649
33554432; 256; 104; 0.227676
33554432; 256; 104; 0.227307
