N; BlockSize; GridSize; time_sec
33554432; 512; 52; 0.212691
33554432; 512; 52; 0.221014
33554432; 512; 52; 0.205784
33554432; 512; 52; 0.214700
33554432; 512; 52; 0.215796
33554432; 512; 52; 0.214731
33554432; 512; 52; 0.223691
33554432; 512; 52; 0.224350
33554432; 512; 52; 0.223802
33554432; 512; 52; 0.222669
33554432; 512; 52; 0.224323
33554432; 512; 52; 0.221539
33554432; 512; 52; 0.224485
33554432; 512; 52; 0.224274
33554432; 512; 52; 0.224915
33554432; 512; 52; 0.223893
33554432; 512; 52; 0.224396
33554432; 512; 52; 0.225300
33554432; 512; 52; 0.225205
33554432; 512; 52; 0.226073
