N; BlockSize; GridSize; time_sec
33554432; 64; 416; 0.302768
33554432; 64; 416; 0.280855
33554432; 64; 416; 0.271592
33554432; 64; 416; 0.271093
33554432; 64; 416; 0.268495
33554432; 64; 416; 0.269642
33554432; 64; 416; 0.275401
33554432; 64; 416; 0.268281
33554432; 64; 416; 0.266920
33554432; 64; 416; 0.268830
33554432; 64; 416; 0.265980
33554432; 64; 416; 0.264119
33554432; 64; 416; 0.263362
33554432; 64; 416; 0.261676
33554432; 64; 416; 0.260438
33554432; 64; 416; 0.262378
33554432; 64; 416; 0.262444
33554432; 64; 416; 0.259014
33554432; 64; 416; 0.259913
33554432; 64; 416; 0.259455
