N; BlockSize; GridSize; time_sec
33554432; 8; 3328; 1.060559
33554432; 8; 3328; 1.057118
33554432; 8; 3328; 1.057473
33554432; 8; 3328; 1.061101
33554432; 8; 3328; 1.059297
33554432; 8; 3328; 1.056356
33554432; 8; 3328; 1.058775
33554432; 8; 3328; 1.058483
33554432; 8; 3328; 1.057034
33554432; 8; 3328; 1.056993
33554432; 8; 3328; 1.056981
33554432; 8; 3328; 1.057718
33554432; 8; 3328; 1.058585
33554432; 8; 3328; 1.056167
33554432; 8; 3328; 1.061521
33554432; 8; 3328; 1.058134
33554432; 8; 3328; 1.057323
33554432; 8; 3328; 1.061231
33554432; 8; 3328; 1.056021
33554432; 8; 3328; 1.059390
